BusStopCode,Latitude,Longitude
51011,1.327841667,103.8406111
51019,1.32894248973791,103.84066508496
51021,1.330411111,103.8391331
51029,1.3302549684081,103.839713398388
51031,1.33162906440184,103.838599920296
51039,1.33165828742218,103.838888661475
51041,1.33343558724869,103.837917261308
51049,1.3338213150365,103.837958112957
51051,1.33635352726982,103.837078020247
51059,1.3370325833883,103.837350193934
51069,1.34125785266365,103.836604356358
51071,1.34219256998908,103.835965765051
51079,1.34178289872759,103.836153923118
51081,1.3405549685403,103.838888134721
51089,1.34154969745419,103.839625819573
51109,1.32709277800856,103.839708055974
51139,1.34436688449065,103.84032264967
52009,1.33202083385749,103.846927635249
52019,1.34403333300249,103.843681667013
52021,1.34431313758435,103.847660881395
52029,1.34359918269745,103.847365379316
52031,1.34404852974216,103.850261556313
52039,1.34333817728421,103.851303100243
52059,1.34309745890513,103.856225857985
52061,1.34352174018964,103.858738791594
52069,1.34314389988912,103.858566114061
52071,1.32991416932901,103.843818432243
52079,1.32931477158443,103.843828857357
52081,1.33081389290944,103.860840797424
52089,1.32991690265608,103.860273688423
52131,1.33220703637711,103.84419754508
52139,1.33271833297864,103.84404416702
52141,1.33627740506187,103.843334640032
52149,1.33640498933489,103.843573996106
52151,1.33834001400213,103.843657122186
52159,1.33810803464351,103.843856381889
52161,1.34093830148518,103.845406453305
52169,1.34013183349101,103.844659780216
52171,1.3409498853794,103.847779811224
52179,1.34069018059141,103.848034850383
52181,1.33306633976898,103.846560716606
52189,1.33318499999452,103.846783055549
52191,1.33636138602833,103.846083896407
52199,1.33547301693721,103.846638611491
52201,1.33918030742933,103.846507595259
52209,1.33925873230713,103.846784488714
52211,1.33832189895284,103.840815281604
52219,1.33814528405956,103.840868856182
52221,1.33801162125737,103.84822863361
52229,1.33775023417492,103.848802881067
52231,1.3343049899737,103.848784238602
52239,1.33412194449168,103.848948055571
52241,1.33804611111505,103.838994999975
52249,1.33782999993927,103.838600000053
52251,1.3329698063249,103.851420879384
52259,1.33278746546959,103.851656913731
52261,1.33403167346972,103.851281404484
52269,1.33404239936331,103.851474523566
52271,1.33683113907107,103.849747180924
52279,1.33702420555118,103.849929571129
52281,1.33444611098518,103.853624166992
52289,1.33501934336797,103.853864909824
52291,1.3369700601272,103.852247107566
52299,1.33715967694295,103.852319288521
52301,1.33411036071703,103.854626038989
52309,1.33390300713051,103.854676263123
52311,1.33435800960389,103.857218391685
52319,1.33412138901702,103.857126111028
52321,1.3312589884768,103.8527071072
52329,1.33146817532374,103.852686881995
52331,1.33246306626276,103.855810293679
52339,1.33287166703192,103.85586083299
52341,1.33625777803173,103.855622500028
52349,1.33619305600558,103.855442500029
52351,1.33836800687246,103.853280058921
52359,1.33862833298637,103.852688889001
52361,1.33974408909931,103.852981216076
52369,1.34001833298065,103.852733332999
52371,1.33992964917756,103.856515856574
52381,1.33988664001033,103.858306304537
52389,1.33972612917249,103.858082114594
52391,1.3376513888146,103.859883496642
52399,1.33696449411474,103.859733895085
52429,1.33630975081569,103.857129394072
52439,1.33825111098581,103.855411667028
52441,1.34083165668042,103.849760007394
52449,1.34044945876465,103.850003055787
52481,1.33524833301564,103.858592778004
52489,1.33536277799489,103.858711943979
52501,1.33090220918791,103.850117628898
52509,1.33115712303762,103.850176334347
52529,1.34132643517011,103.857334899175
52539,1.33991805598004,103.853862500033
52559,1.33735684086973,103.839410715277
